priority,app_id,name,kind,category,shader,shader_exists,pubspec_declared,uniform_time_declared,time_code_refs,animation_class_guess,registry_status,registry_resolution
3,hat_monotile,The Hat Monotile,escape_time,Escape-Time,shaders/ifs_and_geometric/hat_monotile_gpu.frag,true,true,true,1,color_time_parametric,exact,hat_monotile
3,heart,Heart Fractal,escape_time,Escape-Time,shaders/escape_time_family/julia_variants/heart_gpu.frag,true,true,true,1,color_time_parametric,exact,heart
3,heart_julia,Heart Julia,escape_time,Escape-Time,shaders/escape_time_family/julia_variants/heart_julia_gpu.frag,true,true,true,2,color_time_parametric,exact,heart_julia
3,henon,Hénon Map,escape_time,Escape-Time,shaders/strange_attractors/henon_gpu.frag,true,true,true,1,color_time_parametric,exact,henon
3,hermite,Hermite Fractal,escape_time,Escape-Time,shaders/escape_time_family/newton_and_orthogonal/orthogonal_polynomial_maps/hermite_gpu.frag,true,true,true,1,color_time_parametric,exact,hermite
3,hexaflake,Hexaflake,escape_time,Escape-Time,shaders/ifs_and_geometric/hexaflake_gpu.frag,true,true,true,1,growth_process/time_parametric,exact,hexaflake
3,highlife,HighLife,escape_time,Escape-Time,shaders/cellular_and_stochastic/highlife_gpu.frag,true,true,true,1,time_parametric_sampling,exact,highlife
3,hilbert_curve,Hilbert Curve,escape_time,Escape-Time,shaders/ifs_and_geometric/hilbert_curve_gpu.frag,true,true,true,1,color_time_parametric,exact,hilbert_curve
3,hofstadter_butterfly,Hofstadter Butterfly,escape_time,Escape-Time,shaders/escape_time_family/geometry_and_ifs/hofstadter_butterfly_gpu.frag,true,true,true,1,color_time_parametric,exact,hofstadter_butterfly
3,hopalong,Hopalong Attractor,escape_time,Escape-Time,shaders/strange_attractors/hopalong_gpu.frag,true,true,true,1,time_parametric_sampling,exact,hopalong
3,householder,Householder Fractal,escape_time,Escape-Time,shaders/root_finding/householder_gpu.frag,true,true,true,1,color_time_parametric,exact,householder
3,householder_nova,Householder Nova,escape_time,Convergent & Root-Finding,shaders/root_finding/householder_gpu.frag,true,true,true,1,color_time_parametric,missing,
3,hypercomplex_newton,Hypercomplex Newton (Quaternion z³ - 1),escape_time,Escape-Time,shaders/3d_and_hypercomplex/hypercomplex_escape_time/hypercomplex_newton_gpu.frag,true,true,true,3,color_time_parametric,exact,hypercomplex_newton
3,ikeda,Ikeda Map,escape_time,Escape-Time,shaders/strange_attractors/ikeda_gpu.frag,true,true,true,1,color_time_parametric,exact,ikeda
3,inverse_mandelbrot,Inverse Mandelbrot,escape_time,Escape-Time,shaders/escape_time_family/mandelbrot_variants/iterative_maps/inverse_mandelbrot_gpu.frag,true,true,true,2,color_time_parametric,exact,inverse_mandelbrot
3,inverse_quadratic,Inverse Quadratic,escape_time,Escape-Time,shaders/escape_time_family/polynomial_maps/inverse_quadratic_gpu.frag,true,true,true,1,color_time_parametric,missing,
3,jacobi_sn,Jacobi Sn,escape_time,Escape-Time,shaders/trigonometric_and_transcendental/special_functions/jacobi_sn_gpu.frag,true,true,true,2,color_time_parametric,missing,
3,jarratt,Jarratt,escape_time,Escape-Time,shaders/root_finding/jarratt_gpu.frag,true,true,true,1,color_time_parametric,missing,
3,jason_rampe_1,Jason Rampe 1,escape_time,Escape-Time,shaders/escape_time_family/experimental_named/discrete_attractors/jason_rampe_1_gpu.frag,true,true,true,2,color_time_parametric,missing,
3,jason_rampe_2,Jason Rampe 2,escape_time,Escape-Time,shaders/escape_time_family/experimental_named/discrete_attractors/jason_rampe_2_gpu.frag,true,true,true,2,color_time_parametric,missing,
3,jerusalem_cube,Jerusalem Cube (2D Cross-Section),escape_time,Escape-Time,shaders/ifs_and_geometric/jerusalem_cube_gpu.frag,true,true,true,1,color_time_parametric,exact,jerusalem_cube
3,julia,Julia,escape_time,Escape-Time,shaders/escape_time_family/core/julia_gpu.frag,true,true,true,4,color_time_parametric,missing,
3,julia_de,Julia DE Glow,escape_time,Escape-Time,shaders/escape_time_family/julia_variants/julia_de_gpu.frag,true,true,true,2,time_parametric_sampling,exact,julia_de
3,kaleidoscope_basic,Kaleidoscope Basic,escape_time,Kaleidoscopes,shaders/kaleidoscopes/classic_symmetry/kaleidoscope_basic_gpu.frag,true,true,true,3,growth_process/time_parametric,missing,
3,kaleidoscope_crystal,Kaleidoscope Crystal,escape_time,Kaleidoscopes,shaders/kaleidoscopes/classic_symmetry/kaleidoscope_crystal_gpu.frag,true,true,true,3,color_time_parametric,missing,
3,kaleidoscope_flower,Kaleidoscope Flower,escape_time,Kaleidoscopes,shaders/kaleidoscopes/radial_ornaments/kaleidoscope_flower_gpu.frag,true,true,true,3,color_time_parametric,missing,
3,kaleidoscope_fractal,Kaleidoscope Fractal,escape_time,Kaleidoscopes,shaders/kaleidoscopes/textured_light/kaleidoscope_fractal_gpu.frag,true,true,true,3,color_time_parametric,missing,
3,kaleidoscope_geometric,Kaleidoscope Geometric,escape_time,Kaleidoscopes,shaders/kaleidoscopes/classic_symmetry/kaleidoscope_geometric_gpu.frag,true,true,true,3,color_time_parametric,missing,
3,kaleidoscope_jewel,Kaleidoscope Jewel,escape_time,Kaleidoscopes,shaders/kaleidoscopes/textured_light/kaleidoscope_jewel_gpu.frag,true,true,true,3,color_time_parametric,missing,
3,kaleidoscope_mandala,Kaleidoscope Mandala,escape_time,Kaleidoscopes,shaders/kaleidoscopes/classic_symmetry/kaleidoscope_mandala_gpu.frag,true,true,true,3,color_time_parametric,missing,
3,kaleidoscope_nebula,Kaleidoscope Nebula,escape_time,Kaleidoscopes,shaders/kaleidoscopes/textured_light/kaleidoscope_nebula_gpu.frag,true,true,true,3,time_parametric_sampling,missing,
3,kaleidoscope_rays,Kaleidoscope Rays,escape_time,Kaleidoscopes,shaders/kaleidoscopes/radial_ornaments/kaleidoscope_rays_gpu.frag,true,true,true,3,camera_or_raymarch_time_parametric,missing,
3,kaleidoscope_ring,Kaleidoscope Ring,escape_time,Kaleidoscopes,shaders/kaleidoscopes/radial_ornaments/kaleidoscope_ring_gpu.frag,true,true,true,3,color_time_parametric,missing,
3,kaleidoscope_rosette,Kaleidoscope Rosette,escape_time,Kaleidoscopes,shaders/kaleidoscopes/classic_symmetry/kaleidoscope_rosette_gpu.frag,true,true,true,3,color_time_parametric,missing,
3,kaleidoscope_snowflake,Kaleidoscope Snowflake,escape_time,Kaleidoscopes,shaders/kaleidoscopes/classic_symmetry/kaleidoscope_snowflake_gpu.frag,true,true,true,3,growth_process/time_parametric,missing,
3,kaleidoscope_spiral,Kaleidoscope Spiral,escape_time,Kaleidoscopes,shaders/kaleidoscopes/radial_ornaments/kaleidoscope_spiral_gpu.frag,true,true,true,3,color_time_parametric,missing,
3,kaleidoscope_star,Kaleidoscope Star,escape_time,Kaleidoscopes,shaders/kaleidoscopes/radial_ornaments/kaleidoscope_star_gpu.frag,true,true,true,3,camera_or_raymarch_time_parametric,missing,
3,kaleidoscope_wave,Kaleidoscope Wave,escape_time,Kaleidoscopes,shaders/kaleidoscopes/radial_ornaments/kaleidoscope_wave_gpu.frag,true,true,true,3,color_time_parametric,missing,
3,kicked_rotator,Kicked Rotator,escape_time,Escape-Time,shaders/strange_attractors/kicked_rotator_gpu.frag,true,true,true,1,color_time_parametric,exact,kicked_rotator
3,king,King,escape_time,Escape-Time,shaders/escape_time_family/experimental_named/discrete_attractors/king_gpu.frag,true,true,true,1,color_time_parametric,missing,
3,kleinian_limit_set,Kleinian Limit Set,escape_time,Escape-Time,shaders/ifs_and_geometric/kleinian_limit_set_gpu.frag,true,true,true,1,time_parametric_sampling,alias,f0290_kleinian_limit_set
3,koch_anti_snowflake,Koch Anti-Snowflake,escape_time,Escape-Time,shaders/ifs_and_geometric/koch_anti_snowflake_gpu.frag,true,true,true,1,color_time_parametric,exact,koch_anti_snowflake
3,koch_snowflake,Koch Snowflake,escape_time,Escape-Time,shaders/ifs_and_geometric/koch_snowflake_gpu.frag,true,true,true,1,color_time_parametric,exact,koch_snowflake
3,laguerre,Laguerre Fractal,escape_time,Escape-Time,shaders/escape_time_family/newton_and_orthogonal/orthogonal_polynomial_maps/laguerre_gpu.frag,true,true,true,1,color_time_parametric,exact,laguerre
3,laguerre_fractal,Laguerre Fractal,escape_time,Escape-Time,shaders/escape_time_family/newton_and_orthogonal/high_order_root_methods/laguerre_fractal_gpu.frag,true,true,true,1,color_time_parametric,missing,
3,lambda,Lambda Fractal,escape_time,Escape-Time,shaders/escape_time_family/transcendental_maps/lambda_gpu.frag,true,true,true,2,color_time_parametric,exact,lambda
3,lambda_julia,Lambda Julia,escape_time,Escape-Time,shaders/escape_time_family/julia_variants/lambda_julia_gpu.frag,true,true,true,2,color_time_parametric,exact,lambda_julia
3,lambda_w,Lambda W Fractal,escape_time,Escape-Time,shaders/escape_time_family/transcendental_maps/lambda_w_gpu.frag,true,true,true,2,growth_process/time_parametric,exact,lambda_w
3,langton_ant,,escape_time,Escape-Time,shaders/cellular_and_stochastic/langton_ant_gpu.frag,true,true,true,1,time_parametric_sampling,exact,langton_ant
