10.1007/s11071-016-2782-5	Fractal basin boundaries and escape dynamics in a multiwell potential
10.1007/s11071-015-1930-7	Escape dynamics and fractal basin boundaries in Seyfert galaxies
10.1007/s11071-017-3441-1	Elucidating the escape dynamics of the four hill potential
	The Extreme-ultraviolet Stellar Characterization for Atmospheric Physics and Evolution (ESCAPE) Mission: Motivation and Overview
10.3390/fractalfract2040026	Minkowski dimension and explicit tube formulas for $p$-adic fractal strings
	An Overview of Complex Fractal Dimensions: From Fractal Strings to Fractal Drums, and Back
	Space-time distributions
10.1080/17476933.2022.2076842	Holomorphic maps from complex discs intersecting families of hypersurfaces
10.4171/jfg/57	Fractal Tube Formulas for Compact Sets and Relative Fractal Drums: Oscillations, Complex Dimensions and Fractality
10.1007/s11071-021-07167-8	A Parametric and Feasibility Study for Data Sampling of the Dynamic Mode Decomposition--Range, Resolution, and Universal Convergence States
